id,nev,created_at,updated_at
1,Csirke,,
2,Lazac,,
3,Marhahús,,
4,Sertéshús,,
5,Avokádó,,
6,Almaecet,,
7,Spárga,,
8,Padlizsán,,
9,Koktélparadicsom,,
10,Szalonna,,
11,Sütőpor,,
12,Balzsamecet,,
13,Bazsalikom,,
14,Bazsalikomlevelek,,
15,"Basmati rizs",,
16,Babérlevél,,
17,Babérlevelek,,
18,Marhaszegy,,
19,Marhafilé,,
20,Marhapörköltlé,,
21,Marhaalaplé,,
22,Szódabikarbóna,,
23,"Biryani fűszerkeverék",,
24,"Fekete bors",,
25,Melasz,,
26,"Borlotti bab",,
27,"Masni tészta",,
28,"Bramley alma",,
29,Brandy,,
30,Kenyér,,
31,Zsemlemorzsa,,
32,Brokkoli,,
33,"Barna lencse",,
34,Barnarizs,,
35,Barnacukor,,
36,Vaj,,
37,Kakaó,,
38,"Cajun fűszer",,
39,Konzervparadicsom,,
40,"Cannellini bab",,
41,Kardamom,,
42,Sárgarépa,,
43,Kesudió,,
44,Kesudió,,
45,Porcukor,,
46,"Cayenne bors",,
47,"Gumós zeller",,
48,Zeller,,
49,Zellersó,,
50,Mogyoróhagyma,,
51,"Charlotte burgonya",,
52,"Cheddar sajt",,
53,Sajt,,
54,Sajttúró,,
55,Koktélparadicsom,,
56,"Gesztenye gomba",,
57,Csirkemell,,
58,Csirkemellek,,
59,Csirkecomb,,
60,Csirkealaplé,,
61,Csirkecomb,,
62,Csicseriborsó,,
63,"Chili por",,
64,"Hűtött vaj",,
65,Chili,,
66,"Chili por",,
67,"Kínai brokkoli",,
68,Csokoládécseppek,,
69,"Apróra vágott hagyma",,
70,"Apróra vágott petrezselyem",,
71,"Kockázott paradicsom",,
72,Chorizo,,
73,"Karácsonyi puding",,
74,Koriander,,
75,Fahéj,,
76,Fahéjrúd,,
77,Szegfűszeg,,
78,Kókuszcukor,,
79,Kakaópor,,
80,Kókuszkrém,,
81,Kókusztej,,
82,"Colby Jack sajt",,
83,"Hideg víz",,
84,"Sűrített tej",,
85,Koriander,,
86,Korianderlevelek,,
87,Koriandermag,,
88,"Kukorica tortilla",,
89,Kukoricakeményítő,,
90,Tejszín,,
91,"Crcme fraiche",,
92,"Kockázott feta sajt",,
93,Uborka,,
94,Kömény,,
95,Köménymag,,
96,"Curry por",,
97,"Sötét barnacukor",,
98,"Sötét puha barnacukor",,
99,"Sötét szójaszósz",,
100,"Demerara cukor",,
101,"Kockázott paradicsom",,
102,"Digestive keksz",,
103,Kapor,,
104,"Döner hús",,
105,Habtejszín,,
106,"Szárított oregánó",,
107,"Száraz fehérbor",,
108,Padlizsán,,
109,"Tavaszi tekercs",,
110,Tojásfehérje,,
111,Tojássárgája,,
112,Tojás,,
113,"Enchilada szósz",,
114,"Angol mustár",,
115,"Extra szűz olívaolaj",,
116,"Fajita fűszerkeverék",,
117,Farfalle,,
118,Édesköménygumó,,
119,Édesköménymag,,
120,Görögszéna,,
121,Feta,,
122,Halszósz,,
123,"Pörkölt mandulapehely",,
124,Lentojás,,
125,Liszt,,
126,"Lisztes tortilla",,
127,"Lisztes burgonya",,
128,"Szabadtartású tojás, felverve",,
129,"Szabadtartású tojások, felverve",,
130,"Francia lencse",,
131,"Friss bazsalikom",,
132,"Friss kakukkfű",,
133,"Frissen aprított petrezselyem",,
134,"Sült krumpli",,
135,"Teljes zsírtartalmú joghurt",,
136,"Garam masala",,
137,Fokhagyma,,
138,Fokhagymagerezd,,
139,Fokhagymapor,,
140,Fokhagymaszósz,,
141,"Ghee (tisztított vaj)",,
142,Gyömbér,,
143,Gyömbérszörp,,
144,"Gyömbér-fokhagyma paszta",,
145,Gyömbérpaszta,,
146,Aranyszörp,,
147,"Gouda sajt",,
148,Kristálycukor,,
149,Koktélparadicsom,,
150,"Görög joghurt",,
151,Zöldbab,,
152,"Zöld chili",,
153,Zöldolajbogyó,,
154,"Zöld-vörös lencse",,
155,"Zöld salsa",,
156,"Darált mandula",,
157,"Őrölt kömény",,
158,"Őrölt gyömbér",,
159,Gruycre,,
160,"Kemény taco héj",,
161,"Harissa fűszer",,
162,Habtejszín,,
163,Méz,,
164,Torma,,
165,"Forró marhaalaplé",,
166,"Csípős szósz",,
167,Fagylalt,,
168,"Olasz édeskömény kolbász",,
169,"Olasz fűszerkeverék",,
170,Jalapeno,,
171,"Jázmin rizs",,
172,Csicsóka,,
173,Káposzta,,
174,Mákolaj,,
175,Királyrák,,
176,"Kóser só",,
177,Bárány,,
178,Bárányborda,,
179,"Darált bárány",,
180,"Lasagne lapok",,
181,"Sovány darált marhahús",,
182,Póréhagyma,,
183,Citrom,,
184,Citromlé,,
185,Citromhéj,,
186,Citromok,,
187,Saláta,,
188,Lime,,
189,Fejessaláta,,
190,Makaróni,,
191,Makréla,,
192,"Madras paszta",,
193,Majoránna,,
194,"Massaman curry paszta",,
195,"Medjool datolya",,
196,Habcsók,,
197,Tej,,
198,"Apróra vágott fokhagyma",,
199,"Mini mályvacukor",,
200,Menta,,
201,"Monterey Jack sajt",,
202,"Mozzarella golyók",,
203,"Muscovado cukor",,
204,Gomba,,
205,Mustár,,
206,Mustárpor,,
207,Mustármag,,
208,Szerecsendió,,
209,Olaj,,
210,Olívaolaj,,
211,Hagymásó,,
212,Hagyma,,
213,Narancs,,
214,Narancshéj,,
215,Oregánó,,
216,Osztrigaszósz,,
217,Pirospaprika,,
218,"Parmai sonka",,
219,Parmezán,,
