id,nev,leiras,ido,adag,kep_url,created_at,updated_at
1,"Bolognai spagetti parmez├ínnal","1. A hagym├ít ├®s fokhagym├ít finomra v├ígjuk, majd ol├¡vaolajon megpir├¡tjuk. 2. Hozz├íadjuk a dar├ílt marhah├║st ├®s barn├íra pir├¡tjuk. 3. ├ûntj├╝k r├í a paradicsomsz├│szt ├®s a kock├ízott paradicsomot. 4. Bab├®rlev├®llel, oreg├ín├│val, bazsalikommal f┼▒szerezz├╝k, s├│zzuk, borsozzuk. 5. Lass├║ t┼▒z├Ân 30 percig f┼æzz├╝k. 6. K├Âzben a spagettit al dente-re f┼æzz├╝k s├│s v├¡zben. 7. A t├®szt├ít meglocsoljuk a sz├│sszal, frissen reszelt parmez├ínnal t├ílaljuk.",45,4,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=800,,
2,"Csirke curry j├ízmin rizzsel","1. A csirkemellet felkock├ízzuk. 2. A hagym├ít ├®s a fokhagym├ít megpir├¡tjuk ol├¡vaolajon. 3. Hozz├íadjuk a curry port, kurkum├ít, gy├Âmb├®r-fokhagyma paszt├ít. 4. Beletessz├╝k a csirk├®t, megpir├¡tjuk. 5. Fel├Ântj├╝k k├│kusztejjel ├®s csirkealapl├®vel. 6. Hozz├íadjuk a s├írgar├®p├ít ├®s a bors├│t. 7. 20 percig f┼æzz├╝k. 8. K├Âzben a j├ízmin rizst k├╝l├Ân megf┼æzz├╝k. 9. A curryvel egy├╝tt t├ílaljuk, friss korianderrel d├¡sz├¡tj├╝k.",35,4,https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?w=800,,
3,"Lasagne mozzarell├íval ├®s bazsalikommal","1. Bolognai sz├│szt k├®sz├¡t├╝nk dar├ílt marhah├║sb├│l, hagym├íb├│l, fokhagym├íb├│l, paradicsomsz├│szb├│l. 2. Bechamelt k├®sz├¡t├╝nk vajb├│l, lisztb┼æl ├®s tejb┼æl. 3. A tepsit kikenve lasagne lapokat rakunk az alj├íra. 4. R├®tegezz├╝k: bolognai, bechamel, lasagne lap, ism├®telj├╝k. 5. A tetej├®re mozzarell├ít ├®s parmez├ínt reszel├╝nk. 6. Friss bazsalikomot sz├│runk r├í. 7. 180 fokon 40 percig s├╝tj├╝k.",75,6,https://images.unsplash.com/photo-1574894709920-11b28e7367e3?w=800,,
4,"S├╝lt lazac citromos sp├írg├íval ├®s ├║jburgony├íval","1. A lazacot megs├│zzuk, borsozzuk, citroml├®vel meglocsoljuk. 2. Az apr├│ burgony├íkat f├®lbev├ígjuk, ol├¡vaolajon megforgatjuk, s├│zzuk. 3. A sp├írg├ít megtiszt├¡tjuk, ol├¡vaolajos, citromos p├ícot k├®sz├¡t├╝nk r├í. 4. A lazacot, burgony├ít ├®s sp├írg├ít 200 fokon 25 percig s├╝tj├╝k. 5. Friss petrezselyemmel ├®s citromkarik├íval t├ílaljuk.",35,2,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=800,,
5,"Mexik├│i burrito marhah├║ssal ├®s guacamol├®val","1. A marhah├║st felkock├ízzuk ├®s fajita f┼▒szerkever├®kkel besz├│rjuk. 2. Megpir├¡tjuk, hozz├íadjuk a v├Âr├Âshagym├ít, paprik├ít. 3. Guacamol├®t k├®sz├¡t├╝nk avok├íd├│b├│l, lime-b├│l, korianderb┼æl. 4. A lisztes tortill├ít megmeleg├¡tj├╝k. 5. Megt├Âltj├╝k a h├║ssal, rizzsel, ├║jras├╝t├Âtt babbal, sajttal, tejf├Âllel, guacamol├®val. 6. Feltekerj├╝k ├®s meleg szalsa sz├│sszal t├ílaljuk.",30,4,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=800,,
6,"Csirk├®s c├®z├ír sal├íta h├ízi ├Ântettel","1. A csirkemellet s├│zzuk, borsozzuk, ol├¡vaolajon kis├╝tj├╝k. 2. C├®z├ír ├Ântethez kever├╝nk parmez├ínt, fokhagym├ít, citromlevet, ol├¡vaolaajat, angol must├írt. 3. A fejessal├ít├ít megmossuk, falatnyi darabokra t├®pj├╝k. 4. Pir├¡t├│s keny├®rkock├íkat k├®sz├¡t├╝nk. 5. ├ûsszekeverj├╝k a sal├ít├ít az ├Ântettel, hozz├íadjuk a szeletelt csirk├®t, pir├¡t├│s kock├íkat, parmez├ín reszel├®ket.",25,2,https://images.unsplash.com/photo-1546793665-c74683f339c1?w=800,,
7,"Thai z├Âld curry garn├®lar├íkkal","1. A garn├®lar├íkot megtiszt├¡tjuk. 2. Thai z├Âld curry paszt├ít megpir├¡tjuk ol├¡vaolajon. 3. Hozz├í├Ântj├╝k a k├│kusztejjel. 4. Hozz├íadjuk a s├írgar├®p├ít, paprik├ít, bambuszr├╝gyet. 5. 10 perc f┼æz├®s ut├ín hozz├íadjuk a r├íkokat. 6. Thai halsz├│sszal, lime-l├®vel ├¡zes├¡tj├╝k. 7. J├ízmin rizzsel t├ílaljuk, friss korianderrel d├¡sz├¡tj├╝k.",30,3,https://images.unsplash.com/photo-1455619452474-d2be8b1e70cd?w=800,,
8,"R├íntott csirkemell s├╝ltkrumplival ├®s coleslaw sal├ít├íval","1. A csirkemellet kiklopfoljuk, s├│zzuk, borsozzuk. 2. Lisztbe, felvert toj├ísba, zsemlemorzs├íba forgatjuk. 3. B┼æ forr├│ olajban aranybarn├íra s├╝tj├╝k. 4. Burgony├ít has├íbokra v├ígjuk, ol├¡vaolajon s├╝t┼æben aranybarn├íra s├╝tj├╝k. 5. Coleslaw-hoz k├íposzt├ít, r├®p├ít reszel├╝nk, tejf├Âl├Âs-majon├®zes ├Ântettel elkeverj├╝k. 6. Citromkarik├íval t├ílaljuk.",40,4,https://images.unsplash.com/photo-1562967914-608f82629710?w=800,,
9,"Veget├íri├ínus chili bab kukoric├íval ├®s avok├íd├│val","1. A hagym├ít ├®s fokhagym├ít megpir├¡tjuk. 2. Hozz├íadjuk a cs├¡p┼æs paprik├ít, chili port, k├Âmm├®nyt. 3. Hozz├íkeverj├╝k a v├Âr├Âsbors├│ konzervet, fekete babot, csemegekukoric├ít. 4. Fel├Ântj├╝k paradicsomsz├│sszal ├®s z├Âlds├®galapl├®vel. 5. 25 percig f┼æzz├╝k. 6. Tejf├Âllel, avok├íd├│ szeletekkel, reszelt sajttal, friss korianderrel t├ílaljuk.",35,5,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=800,,
10,"G├Âr├Âg moussaka padlizs├ínnal ├®s b├ír├ínyb├│l","1. A padlizs├ínt felszeletelj├╝k, megs├│zzuk, 20 perc ut├ín lesz├ír├¡tjuk ├®s kis├╝tj├╝k. 2. Dar├ílt b├ír├ínyb├│l, hagym├íb├│l, fokhagym├íb├│l, paradicsomb├│l sz├│szt f┼æz├╝nk fah├®jjal, oreg├ín├│val. 3. Bechamel sz├│szt k├®sz├¡t├╝nk. 4. Tepsiben r├®tegezz├╝k: padlizs├ín, b├ír├ínyos sz├│sz, padlizs├ín, bechamel. 5. Tetej├®re reszelt sajtot sz├│runk. 6. 180 fokon 45 percig s├╝tj├╝k.",90,6,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=800,,
